filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
23111.txt, 130, 10.8333333333,9.28571428571,6.19047619048,1.75,1.78571428571,1.5,0.333333333333,0.5,1.16666666667,0.428571428571,0.0,0.0,0.714285714286,0.47619047619
21609.txt, 205, 10.7894736842,12.0588235294,8.54166666667,1.26315789474,2.0,1.41176470588,0.291666666667,0.411764705882,0.894736842105,0.352941176471,0.176470588235,0.125,0.941176470588,0.666666666667
33268.txt, 55, 27.5,18.3333333333,13.75,2.0,2.0,1.33333333333,0.5,0.666666666667,1.5,0.666666666667,0.333333333333,0.25,1.66666666667,1.25
10478.txt, 16, 16.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
22563.txt, 1, 1.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
13712.txt, 483, 18.5769230769,14.2058823529,8.3275862069,2.23076923077,2.29411764706,1.70588235294,0.396551724138,0.676470588235,1.30769230769,0.529411764706,0.294117647059,0.172413793103,1.38235294118,0.810344827586
15050.txt, 166, 11.8571428571,11.0666666667,8.3,1.42857142857,1.4,1.33333333333,0.25,0.333333333333,1.07142857143,0.333333333333,0.0,0.0,1.06666666667,0.8
20884.txt, 23, 11.5,11.5,11.5,1.0,1.5,1.0,0.5,0.5,1.0,0.5,1.5,1.5,0.5,0.5
17620.txt, 41, 41.0,41.0,10.25,4.0,4.0,4.0,0.75,3.0,1.0,1.0,1.0,0.25,8.0,2.0
43814.txt, 95, 13.5714285714,9.5,6.78571428571,2.0,1.8,1.4,0.428571428571,0.6,1.42857142857,0.8,0.0,0.0,0.9,0.642857142857
4473.txt, 236, 18.1538461538,14.75,8.13793103448,2.23076923077,2.1875,1.8125,0.448275862069,0.8125,1.23076923077,0.625,0.375,0.206896551724,2.375,1.31034482759
17065.txt, 17, 17.0,17.0,8.5,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5
12643.txt, 18, 18.0,18.0,6.0,3.0,3.0,3.0,0.666666666667,2.0,1.0,1.0,0.0,0.0,2.0,0.666666666667
16417.txt, 10, 10.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
34665.txt, 19, 19.0,19.0,19.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
41821.txt, 14, 7.0,7.0,4.66666666667,1.5,2.0,1.5,0.333333333333,0.5,1.0,0.5,0.0,0.0,0.0,0.0
38784.txt, 5, 5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17894.txt, 212, 13.25,11.1578947368,7.06666666667,1.875,1.68421052632,1.57894736842,0.366666666667,0.578947368421,1.1875,0.473684210526,0.0,0.0,1.42105263158,0.9
46867.txt, 18, 18.0,18.0,18.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0
15667.txt, 3, 3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
10139.txt, 15, 7.5,7.5,7.5,1.0,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5
31021.txt, 11, 11.0,11.0,5.5,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,2.0,1.0
25895.txt, 577, 18.03125,14.7948717949,8.61194029851,2.09375,2.10256410256,1.71794871795,0.432835820896,0.74358974359,1.21875,0.512820512821,0.358974358974,0.208955223881,1.5641025641,0.910447761194
32233.txt, 50, 5.0,5.55555555556,10.0,0.5,1.0,0.555555555556,0.0,0.0,0.9,0.0,0.0,0.0,0.777777777778,1.4
21358.txt, 10, 10.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
13243.txt, 25, 12.5,12.5,12.5,1.0,2.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.5,1.5
27614.txt, 153, 13.9090909091,10.9285714286,6.12,2.27272727273,2.0,1.78571428571,0.36,0.642857142857,1.27272727273,0.5,0.0714285714286,0.04,0.571428571429,0.32
6424.txt, 115, 12.7777777778,10.4545454545,8.84615384615,1.44444444444,1.27272727273,1.18181818182,0.153846153846,0.181818181818,1.22222222222,0.272727272727,0.363636363636,0.307692307692,1.36363636364,1.15384615385
30453.txt, 787, 15.1346153846,13.8070175439,8.0306122449,1.88461538462,2.15789473684,1.71929824561,0.387755102041,0.666666666667,1.09615384615,0.543859649123,0.40350877193,0.234693877551,1.19298245614,0.69387755102
43087.txt, 35, 11.6666666667,11.6666666667,7.0,1.66666666667,1.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.666666666667,0.0,0.0,1.66666666667,1.0
21465.txt, 145, 20.7142857143,14.5,7.25,2.85714285714,2.7,2.0,0.45,0.9,1.42857142857,0.6,0.5,0.25,1.3,0.65
16220.txt, 45, 22.5,22.5,6.42857142857,3.5,4.0,3.5,0.571428571429,2.0,1.0,0.5,0.0,0.0,3.5,1.0
20017.txt, 5, 5.0,5.0,0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0,1.0,0
19922.txt, 1, 1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5063.txt, 68, 6.8,6.8,6.8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.4
26433.txt, 202, 18.3636363636,15.5384615385,8.08,2.27272727273,2.46153846154,1.92307692308,0.52,1.0,1.18181818182,0.846153846154,0.461538461538,0.24,1.46153846154,0.76
6271.txt, 33, 11.0,11.0,8.25,1.33333333333,2.33333333333,1.33333333333,0.25,0.333333333333,1.0,0.333333333333,0.0,0.0,1.0,0.75
5882.txt, 17, 8.5,8.5,8.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0
15354.txt, 21, 21.0,21.0,10.5,2.0,3.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,5.0,2.5
26745.txt, 14, 14.0,14.0,3.5,4.0,4.0,4.0,0.5,2.0,1.0,1.0,0.0,0.0,1.0,0.25
8696.txt, 1, 1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47698.txt, 13, 13.0,13.0,6.5,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0
18873.txt, 349, 14.5416666667,13.96,6.98,2.08333333333,2.2,2.0,0.5,1.0,1.04166666667,0.56,0.44,0.22,1.12,0.56
45180.txt, 417, 18.9545454545,17.375,9.6976744186,1.95454545455,2.33333333333,1.79166666667,0.418604651163,0.75,1.09090909091,0.416666666667,0.625,0.348837209302,1.83333333333,1.02325581395
46382.txt, 2, 2.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
31347.txt, 358, 14.9166666667,11.5483870968,10.5294117647,1.41666666667,1.38709677419,1.09677419355,0.0882352941176,0.0967741935484,1.29166666667,0.129032258065,0.225806451613,0.205882352941,1.35483870968,1.23529411765
13125.txt, 1, 1.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
35113.txt, 15, 15.0,15.0,7.5,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,3.0,1.5
20534.txt, 79, 15.8,15.8,7.18181818182,2.2,2.8,2.2,0.272727272727,0.6,1.0,0.6,0.0,0.0,1.4,0.636363636364
9335.txt, 57, 14.25,11.4,9.5,1.5,1.8,1.2,0.166666666667,0.2,1.25,0.2,0.4,0.333333333333,0.8,0.666666666667
11958.txt, 89, 12.7142857143,11.125,6.84615384615,1.85714285714,1.625,1.625,0.384615384615,0.625,1.14285714286,0.625,0.25,0.153846153846,0.625,0.384615384615
550.txt, 112, 56.0,14.0,7.46666666667,7.5,2.0,1.875,0.4,0.75,4.0,0.625,0.125,0.0666666666667,1.75,0.933333333333
36485.txt, 703, 17.1463414634,16.3488372093,9.76388888889,1.75609756098,2.6511627907,1.67441860465,0.388888888889,0.651162790698,1.0487804878,0.53488372093,0.581395348837,0.347222222222,1.74418604651,1.04166666667
16866.txt, 9, 9.0,9.0,3.0,3.0,3.0,3.0,0.666666666667,2.0,1.0,1.0,0.0,0.0,2.0,0.666666666667
43348.txt, 9, 9.0,9.0,4.5,2.0,2.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5
6837.txt, 5, 5.0,5.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16876.txt, 19, 19.0,19.0,19.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
15285.txt, 180, 18.0,11.25,7.5,2.4,2.125,1.5,0.208333333333,0.3125,1.6,0.4375,0.125,0.0833333333333,0.8125,0.541666666667
18716.txt, 44, 22.0,44.0,44.0,0.5,3.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,8.0,8.0
7399.txt, 2, 2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42007.txt, 2, 2.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
6693.txt, 151, 13.7272727273,10.0666666667,7.55,1.81818181818,1.8,1.33333333333,0.25,0.333333333333,1.36363636364,0.333333333333,0.133333333333,0.1,0.533333333333,0.4
14853.txt, 9, 9.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
44433.txt, 13, 13.0,13.0,13.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7389.txt, 2, 2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22295.txt, 101, 25.25,25.25,14.4285714286,1.75,2.0,1.75,0.428571428571,0.75,1.0,0.5,1.0,0.571428571429,3.25,1.85714285714
35833.txt, 4, 4.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
3844.txt, 215, 26.875,15.3571428571,8.95833333333,3.0,2.0,1.71428571429,0.166666666667,0.285714285714,1.75,0.357142857143,0.714285714286,0.416666666667,1.28571428571,0.75
