filename,nwords,cl_av_deps,cl_ndeps_std_dev,acomp_per_cl,advcl_per_cl,agent_per_cl,cc_per_cl,ccomp_per_cl,conj_per_cl,csubj_per_cl,csubjpass_per_cl,dep_per_cl,discourse_per_cl,dobj_per_cl,expl_per_cl,iobj_per_cl,mark_per_cl,ncomp_per_cl,neg_per_cl,nsubj_per_cl,nsubjpass_per_cl,parataxis_per_cl,pcomp_per_cl,prep_per_cl,prepc_per_cl,prt_per_cl,tmod_per_cl,xcomp_per_cl,xsubj_per_cl,advmod_per_cl,aux_per_cl,auxpass_per_cl,modal_per_cl
33061.txt, 16, 2.5,0.866025403784,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
37235.txt, 1, 0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22612.txt, 102, 2.63636363636,1.10968687416,0.0909090909091,0.0454545454545,0.0,0.0,0.0909090909091,0.181818181818,0.0,0.0,0.0,0.0,0.363636363636,0.0,0.0,0.0909090909091,0.136363636364,0.0454545454545,0.636363636364,0.0,0.0,0.0,0.272727272727,0.0909090909091,0.0,0.0454545454545,0.318181818182,0.0,0.227272727273,0.136363636364,0.0,0.0
3422.txt, 135, 2.42105263158,0.877543789502,0.315789473684,0.0,0.0,0.0526315789474,0.105263157895,0.157894736842,0.0,0.0,0.0526315789474,0.0,0.105263157895,0.0,0.0,0.0,0.210526315789,0.0,0.789473684211,0.105263157895,0.0526315789474,0.0,0.368421052632,0.0,0.0,0.0526315789474,0.0,0.0,0.0526315789474,0.0526315789474,0.105263157895,0.105263157895
20883.txt, 10, 1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0
15205.txt, 198, 2.75,1.16368667031,0.111111111111,0.111111111111,0.0,0.0,0.277777777778,0.138888888889,0.0,0.0,0.0277777777778,0.0,0.388888888889,0.0,0.0,0.361111111111,0.0555555555556,0.0277777777778,0.805555555556,0.0,0.0,0.0,0.166666666667,0.0,0.0277777777778,0.0277777777778,0.111111111111,0.0,0.111111111111,0.333333333333,0.0,0.0555555555556
20358.txt, 178, 2.83333333333,1.14260910007,0.166666666667,0.166666666667,0.0,0.0,0.0833333333333,0.0833333333333,0.0,0.0,0.0,0.0,0.416666666667,0.0,0.0,0.125,0.0416666666667,0.0,0.75,0.0416666666667,0.0416666666667,0.0,0.666666666667,0.0,0.0,0.0,0.0833333333333,0.0,0.125,0.291666666667,0.0416666666667,0.416666666667
24074.txt, 132, 2.5,1.19023807142,0.0833333333333,0.0833333333333,0.0,0.0,0.25,0.0833333333333,0.0833333333333,0.0,0.0416666666667,0.0,0.541666666667,0.0,0.0,0.125,0.0833333333333,0.125,0.666666666667,0.0,0.0,0.0,0.208333333333,0.0,0.0,0.0,0.0416666666667,0.0,0.0833333333333,0.208333333333,0.0,0.25
48317.txt, 65, 3.14285714286,0.349927106112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571428571,0.0,0.0,0.0,0.142857142857,0.0,1.0,0.0,0.0,0.0,0.857142857143,0.0,0.0,0.285714285714,0.0,0.0,0.428571428571,0.571428571429,0.0,0.0
35607.txt, 8, 1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
